日付,商品名,数量
2026-02-10,あんぱん,26
2026-02-10,抹茶ラテ(店内),10
2026-02-11,どら焼き,38
2026-02-11,豆大福,32
2026-02-11,カステラ,15
2026-02-11,シュークリーム,36
2026-02-11,プリン,26
2026-02-11,苺ショートケーキ,16
2026-02-11,食パン,45
2026-02-11,クロワッサン,30
2026-02-11,あんぱん,26
2026-02-11,抹茶ラテ(店内),9
2026-02-12,どら焼き,27
2026-02-12,豆大福,32
2026-02-12,カステラ,13
2026-02-12,シュークリーム,50
2026-02-12,プリン,28
2026-02-12,苺ショートケーキ,20
2026-02-12,食パン,54
2026-02-12,クロワッサン,37
2026-02-12,あんぱん,30
2026-02-13,どら焼き,31
2026-02-13,豆大福,42
2026-02-13,カステラ,11
2026-02-13,シュークリーム,39
2026-02-13,プリン,28
2026-02-13,苺ショートケーキ,11
2026-02-13,食パン,75
2026-02-13,クロワッサン,27
2026-02-13,あんぱん,27
2026-02-13,抹茶ラテ(店内),6
2026-02-14,どら焼き,53
2026-02-14,豆大福,49
2026-02-14,カステラ,18
2026-02-14,シュークリーム,87
2026-02-14,プリン,39
2026-02-14,苺ショートケーキ,40
2026-02-14,食パン,82
2026-02-14,クロワッサン,39
2026-02-14,あんぱん,27
2026-02-15,どら焼き,57
2026-02-15,豆大福,49
2026-02-15,カステラ,17
2026-02-15,シュークリーム,72
2026-02-15,プリン,36
2026-02-15,苺ショートケーキ,34
2026-02-15,食パン,58
2026-02-15,クロワッサン,51
2026-02-15,あんぱん,15
2026-02-15,抹茶ラテ(店内),13
2026-02-16,どら焼き,39
2026-02-16,豆大福,34
2026-02-16,カステラ,13
2026-02-16,シュークリーム,40
2026-02-16,プリン,26
2026-02-16,苺ショートケーキ,13
2026-02-16,食パン,73
2026-02-16,クロワッサン,33
2026-02-16,あんぱん,28
2026-02-17,どら焼き,37
2026-02-17,豆大福,29
2026-02-17,カステラ,15
2026-02-17,シュークリーム,41
2026-02-17,プリン,25
2026-02-17,苺ショートケーキ,19
2026-02-17,食パン,52
2026-02-17,クロワッサン,43
2026-02-17,あんぱん,26
2026-02-17,抹茶ラテ(店内),9
2026-02-18,どら焼き,29
2026-02-18,豆大福,40
2026-02-18,カステラ,14
2026-02-18,シュークリーム,51
2026-02-18,プリン,22
2026-02-18,苺ショートケーキ,15
2026-02-18,食パン,75
2026-02-18,クロワッサン,36
2026-02-18,あんぱん,24
2026-02-19,どら焼き,43
2026-02-19,豆大福,26
2026-02-19,カステラ,16
2026-02-19,シュークリーム,38
2026-02-19,プリン,29
2026-02-19,苺ショートケーキ,17
2026-02-19,食パン,72
2026-02-19,クロワッサン,29
2026-02-19,あんぱん,25
2026-02-20,どら焼き,50
2026-02-20,豆大福,32
2026-02-20,カステラ,16
2026-02-20,シュークリーム,47
2026-02-20,プリン,24
2026-02-20,苺ショートケーキ,15
2026-02-20,食パン,73
2026-02-20,クロワッサン,29
2026-02-20,あんぱん,22
2026-02-20,抹茶ラテ(店内),9
2026-02-21,どら焼き,56
2026-02-21,豆大福,46
2026-02-21,カステラ,19
2026-02-21,シュークリーム,76
2026-02-21,プリン,32
2026-02-21,苺ショートケーキ,33
2026-02-21,食パン,70
2026-02-21,クロワッサン,60
2026-02-21,あんぱん,31
2026-02-21,抹茶ラテ(店内),11
2026-02-22,どら焼き,47
2026-02-22,豆大福,40
2026-02-22,カステラ,17
2026-02-22,シュークリーム,76
2026-02-22,プリン,32
2026-02-22,苺ショートケーキ,34
2026-02-22,食パン,66
2026-02-22,クロワッサン,55
2026-02-22,あんぱん,29
2026-02-22,抹茶ラテ(店内),11
2026-02-23,どら焼き,46
2026-02-23,豆大福,24
2026-02-23,カステラ,13
2026-02-23,シュークリーム,40
2026-02-23,プリン,29
2026-02-23,苺ショートケーキ,18
2026-02-23,食パン,50
2026-02-23,クロワッサン,30
2026-02-23,あんぱん,23
2026-02-23,抹茶ラテ(店内),8
2026-02-24,どら焼き,34
2026-02-24,豆大福,30
2026-02-24,カステラ,14
2026-02-24,シュークリーム,36
2026-02-24,プリン,32
2026-02-24,苺ショートケーキ,15
2026-02-24,食パン,56
2026-02-24,クロワッサン,33
2026-02-24,あんぱん,18
2026-02-24,抹茶ラテ(店内),11
2026-02-25,どら焼き,54
2026-02-25,豆大福,30
2026-02-25,カステラ,16
2026-02-25,シュークリーム,34
2026-02-25,プリン,15
2026-02-25,苺ショートケーキ,21
2026-02-25,食パン,47
2026-02-25,クロワッサン,37
2026-02-25,あんぱん,21
2026-02-25,抹茶ラテ(店内),7
2026-02-26,どら焼き,39
2026-02-26,豆大福,31
2026-02-26,カステラ,9
2026-02-26,シュークリーム,51
2026-02-26,プリン,30
2026-02-26,苺ショートケーキ,16
2026-02-26,食パン,54
2026-02-26,クロワッサン,33
2026-02-26,あんぱん,24
2026-02-26,抹茶ラテ(店内),8
2026-02-27,どら焼き,41
2026-02-27,豆大福,23
2026-02-27,カステラ,10
2026-02-27,シュークリーム,45
2026-02-27,プリン,29
2026-02-27,苺ショートケーキ,23
2026-02-27,食パン,36
2026-02-27,クロワッサン,26
2026-02-27,あんぱん,24
2026-02-28,どら焼き,64
2026-02-28,豆大福,43
2026-02-28,カステラ,20
2026-02-28,シュークリーム,86
2026-02-28,プリン,42
2026-02-28,苺ショートケーキ,37
2026-02-28,食パン,58
2026-02-28,クロワッサン,44
2026-02-28,あんぱん,29
2026-02-28,抹茶ラテ(店内),12
2026-03-01,どら焼き,50
2026-03-01,豆大福,49
2026-03-01,カステラ,20
2026-03-01,シュークリーム,79
2026-03-01,プリン,33
2026-03-01,苺ショートケーキ,40
2026-03-01,食パン,62
2026-03-01,クロワッサン,32
2026-03-01,あんぱん,33
2026-03-01,抹茶ラテ(店内),12
2026-03-02,どら焼き,41
2026-03-02,豆大福,39
2026-03-02,カステラ,9
2026-03-02,シュークリーム,37
2026-03-02,プリン,31
2026-03-02,食パン,55
2026-03-02,クロワッサン,39
2026-03-02,あんぱん,25
2026-03-03,どら焼き,36
2026-03-03,豆大福,29
2026-03-03,カステラ,11
2026-03-03,シュークリーム,43
2026-03-03,プリン,25
2026-03-03,苺ショートケーキ,21
2026-03-03,食パン,46
2026-03-03,クロワッサン,43
2026-03-03,あんぱん,33
2026-03-03,抹茶ラテ(店内),8
2026-03-04,どら焼き,28
2026-03-04,豆大福,34
2026-03-04,カステラ,13
2026-03-04,シュークリーム,36
2026-03-04,プリン,28
2026-03-04,苺ショートケーキ,15
2026-03-04,食パン,74
2026-03-04,クロワッサン,40
2026-03-04,あんぱん,23
2026-03-05,どら焼き,34
2026-03-05,豆大福,33
2026-03-05,カステラ,16
2026-03-05,シュークリーム,44
2026-03-05,プリン,24
2026-03-05,苺ショートケーキ,22
2026-03-05,食パン,64
2026-03-05,クロワッサン,30
2026-03-05,あんぱん,20
2026-03-05,抹茶ラテ(店内),10
2026-03-06,どら焼き,41
2026-03-06,豆大福,25
2026-03-06,カステラ,11
2026-03-06,シュークリーム,46
2026-03-06,プリン,24
2026-03-06,苺ショートケーキ,18
2026-03-06,食パン,61
2026-03-06,クロワッサン,24
2026-03-06,あんぱん,25
2026-03-07,どら焼き,55
2026-03-07,豆大福,28
2026-03-07,カステラ,20
2026-03-07,シュークリーム,82
2026-03-07,プリン,43
2026-03-07,苺ショートケーキ,37
2026-03-07,食パン,47
2026-03-07,クロワッサン,44
2026-03-07,あんぱん,22
2026-03-07,抹茶ラテ(店内),12
2026-03-08,どら焼き,54
2026-03-08,豆大福,44
2026-03-08,カステラ,15
2026-03-08,シュークリーム,81
2026-03-08,プリン,36
2026-03-08,苺ショートケーキ,36
2026-03-08,食パン,52
2026-03-08,クロワッサン,65
2026-03-08,あんぱん,25
2026-03-09,どら焼き,31
2026-03-09,豆大福,20
2026-03-09,カステラ,13
2026-03-09,シュークリーム,38
2026-03-09,プリン,24
2026-03-09,苺ショートケーキ,19
2026-03-09,食パン,63
2026-03-09,クロワッサン,35
2026-03-09,あんぱん,28
2026-03-09,抹茶ラテ(店内),8
2026-03-10,どら焼き,36
2026-03-10,豆大福,29
2026-03-10,カステラ,10
2026-03-10,シュークリーム,49
2026-03-10,プリン,22
2026-03-10,苺ショートケーキ,15
2026-03-10,食パン,62
2026-03-10,クロワッサン,35
2026-03-10,あんぱん,25
2026-03-10,抹茶ラテ(店内),9
2026-03-11,どら焼き,30
2026-03-11,豆大福,27
2026-03-11,カステラ,9
2026-03-11,シュークリーム,43
2026-03-11,プリン,29
2026-03-11,苺ショートケーキ,17
2026-03-11,食パン,63
2026-03-11,クロワッサン,38
2026-03-11,あんぱん,21
2026-03-11,抹茶ラテ(店内),8
2026-03-12,どら焼き,34
2026-03-12,豆大福,23
2026-03-12,カステラ,13
2026-03-12,シュークリーム,36
2026-03-12,プリン,25
2026-03-12,苺ショートケーキ,16
2026-03-12,食パン,64
2026-03-12,クロワッサン,29
2026-03-12,あんぱん,33
2026-03-12,抹茶ラテ(店内),10
2026-03-13,どら焼き,31
2026-03-13,豆大福,24
2026-03-13,カステラ,17
2026-03-13,シュークリーム,58
2026-03-13,プリン,28
2026-03-13,苺ショートケーキ,19
2026-03-13,食パン,65
2026-03-13,クロワッサン,34
2026-03-13,あんぱん,23
2026-03-13,抹茶ラテ(店内),7
2026-03-14,どら焼き,63
2026-03-14,豆大福,40
2026-03-14,カステラ,18
2026-03-14,シュークリーム,76
2026-03-14,プリン,37
2026-03-14,苺ショートケーキ,35
2026-03-14,食パン,64
2026-03-14,クロワッサン,46
2026-03-14,あんぱん,26
2026-03-14,抹茶ラテ(店内),13
2026-03-15,どら焼き,58
2026-03-15,豆大福,49
2026-03-15,カステラ,18
2026-03-15,シュークリーム,77
2026-03-15,プリン,46
2026-03-15,苺ショートケーキ,31
2026-03-15,食パン,62
2026-03-15,クロワッサン,29
2026-03-15,あんぱん,23
2026-03-16,どら焼き,34
2026-03-16,豆大福,36
2026-03-16,カステラ,11
2026-03-16,シュークリーム,51
2026-03-16,プリン,30
2026-03-16,食パン,74
2026-03-16,クロワッサン,36
2026-03-16,あんぱん,22
2026-03-16,抹茶ラテ(店内),11
2026-03-17,どら焼き,38
2026-03-17,豆大福,22
2026-03-17,カステラ,10
2026-03-17,シュークリーム,38
2026-03-17,プリン,28
2026-03-17,苺ショートケーキ,17
2026-03-17,食パン,52
2026-03-17,クロワッサン,29
2026-03-17,あんぱん,33
2026-03-17,抹茶ラテ(店内),11
2026-03-18,どら焼き,28
2026-03-18,豆大福,29
2026-03-18,カステラ,8
2026-03-18,シュークリーム,57
2026-03-18,プリン,32
2026-03-18,苺ショートケーキ,18
2026-03-18,食パン,46
2026-03-18,クロワッサン,38
2026-03-18,あんぱん,23
2026-03-18,抹茶ラテ(店内),12
2026-03-19,どら焼き,43
2026-03-19,豆大福,35
2026-03-19,カステラ,14
2026-03-19,シュークリーム,48
2026-03-19,プリン,31
2026-03-19,苺ショートケーキ,19
2026-03-19,食パン,79
2026-03-19,クロワッサン,34
2026-03-19,あんぱん,30
2026-03-19,抹茶ラテ(店内),11
2026-03-20,どら焼き,33
2026-03-20,豆大福,27
2026-03-20,カステラ,14
2026-03-20,シュークリーム,47
2026-03-20,プリン,38
2026-03-20,苺ショートケーキ,16
2026-03-20,食パン,58
2026-03-20,クロワッサン,39
2026-03-20,あんぱん,26
2026-03-20,抹茶ラテ(店内),9
2026-03-21,どら焼き,68
2026-03-21,豆大福,50
2026-03-21,カステラ,20
2026-03-21,シュークリーム,76
2026-03-21,プリン,46
2026-03-21,苺ショートケーキ,34
2026-03-21,食パン,52
2026-03-21,クロワッサン,42
2026-03-21,あんぱん,25
2026-03-21,抹茶ラテ(店内),11
2026-03-22,どら焼き,55
2026-03-22,豆大福,43
2026-03-22,カステラ,19
2026-03-22,シュークリーム,82
2026-03-22,プリン,40
2026-03-22,苺ショートケーキ,30
2026-03-22,食パン,59
2026-03-22,クロワッサン,51
2026-03-22,あんぱん,27
2026-03-22,抹茶ラテ(店内),11
2026-03-23,どら焼き,42
2026-03-23,豆大福,41
2026-03-23,カステラ,11
2026-03-23,シュークリーム,61
2026-03-23,プリン,27
2026-03-23,苺ショートケーキ,22
2026-03-23,食パン,58
2026-03-23,クロワッサン,30
2026-03-23,あんぱん,21
2026-03-23,抹茶ラテ(店内),10
2026-03-24,どら焼き,43
2026-03-24,豆大福,20
2026-03-24,カステラ,10
2026-03-24,シュークリーム,55
2026-03-24,プリン,19
2026-03-24,苺ショートケーキ,23
2026-03-24,食パン,76
2026-03-24,クロワッサン,44
2026-03-24,あんぱん,32
2026-03-24,抹茶ラテ(店内),8
2026-03-25,どら焼き,30
2026-03-25,豆大福,31
2026-03-25,カステラ,11
2026-03-25,シュークリーム,38
2026-03-25,プリン,29
2026-03-25,食パン,34
2026-03-25,クロワッサン,39
2026-03-25,あんぱん,24
2026-03-25,抹茶ラテ(店内),7
2026-03-26,どら焼き,36
2026-03-26,豆大福,33
2026-03-26,カステラ,9
2026-03-26,シュークリーム,50
2026-03-26,プリン,38
2026-03-26,苺ショートケーキ,19
2026-03-26,食パン,54
2026-03-26,クロワッサン,33
2026-03-26,あんぱん,29
2026-03-26,抹茶ラテ(店内),12
2026-03-27,どら焼き,40
2026-03-27,豆大福,31
2026-03-27,カステラ,13
2026-03-27,シュークリーム,51
2026-03-27,プリン,30
2026-03-27,苺ショートケーキ,19
2026-03-27,食パン,55
2026-03-27,クロワッサン,38
2026-03-27,あんぱん,19
2026-03-27,抹茶ラテ(店内),9
2026-03-28,どら焼き,56
2026-03-28,豆大福,44
2026-03-28,カステラ,23
2026-03-28,シュークリーム,84
2026-03-28,プリン,25
2026-03-28,苺ショートケーキ,40
2026-03-28,食パン,51
2026-03-28,クロワッサン,53
2026-03-28,あんぱん,34
2026-03-28,抹茶ラテ(店内),12
2026-03-29,どら焼き,58
2026-03-29,豆大福,51
2026-03-29,カステラ,22
2026-03-29,シュークリーム,80
2026-03-29,プリン,44
2026-03-29,苺ショートケーキ,40
2026-03-29,食パン,65
2026-03-29,クロワッサン,39
2026-03-29,あんぱん,33
2026-03-29,抹茶ラテ(店内),13
2026-03-30,どら焼き,46
2026-03-30,豆大福,34
2026-03-30,カステラ,15
2026-03-30,シュークリーム,62
2026-03-30,プリン,31
2026-03-30,苺ショートケーキ,19
2026-03-30,食パン,45
2026-03-30,クロワッサン,32
2026-03-30,あんぱん,30
2026-03-30,抹茶ラテ(店内),10
2026-03-31,どら焼き,47
2026-03-31,豆大福,25
2026-03-31,カステラ,10
2026-03-31,シュークリーム,56
2026-03-31,プリン,29
2026-03-31,苺ショートケーキ,20
2026-03-31,食パン,59
2026-03-31,クロワッサン,27
2026-03-31,あんぱん,35
2026-03-31,抹茶ラテ(店内),9
2026-04-01,どら焼き,55
2026-04-01,豆大福,33
2026-04-01,カステラ,14
2026-04-01,シュークリーム,58
2026-04-01,プリン,39
2026-04-01,苺ショートケーキ,19
2026-04-01,食パン,66
2026-04-01,クロワッサン,41
2026-04-01,あんぱん,28
2026-04-01,抹茶ラテ(店内),11
2026-04-02,どら焼き,38
2026-04-02,豆大福,22
2026-04-02,カステラ,13
2026-04-02,シュークリーム,49
2026-04-02,プリン,28
2026-04-02,苺ショートケーキ,23
2026-04-02,食パン,55
2026-04-02,クロワッサン,44
2026-04-02,あんぱん,26
2026-04-02,抹茶ラテ(店内),11
2026-04-03,どら焼き,46
2026-04-03,豆大福,33
2026-04-03,シュークリーム,48
2026-04-03,プリン,32
2026-04-03,苺ショートケーキ,24
2026-04-03,食パン,59
2026-04-03,クロワッサン,32
2026-04-03,あんぱん,22
2026-04-03,抹茶ラテ(店内),12
2026-04-04,どら焼き,66
2026-04-04,豆大福,53
2026-04-04,カステラ,18
2026-04-04,シュークリーム,78
2026-04-04,プリン,33
2026-04-04,食パン,68
2026-04-04,クロワッサン,41
2026-04-04,あんぱん,40
2026-04-04,季節のタルト,20
2026-04-05,どら焼き,55
2026-04-05,豆大福,47
2026-04-05,カステラ,21
2026-04-05,シュークリーム,89
2026-04-05,プリン,42
2026-04-05,苺ショートケーキ,36
2026-04-05,食パン,67
2026-04-05,クロワッサン,45
2026-04-05,あんぱん,26
2026-04-05,抹茶ラテ(店内),10
2026-04-05,季節のタルト,19
2026-04-06,どら焼き,32
2026-04-06,豆大福,20
2026-04-06,カステラ,14
2026-04-06,シュークリーム,36
2026-04-06,プリン,22
2026-04-06,苺ショートケーキ,22
2026-04-06,食パン,62
2026-04-06,クロワッサン,41
2026-04-06,あんぱん,29
2026-04-06,抹茶ラテ(店内),12
2026-04-07,どら焼き,44
2026-04-07,豆大福,27
2026-04-07,カステラ,11
2026-04-07,シュークリーム,52
2026-04-07,プリン,19
2026-04-07,苺ショートケーキ,17
2026-04-07,食パン,51
2026-04-07,クロワッサン,37
2026-04-07,あんぱん,28
2026-04-07,抹茶ラテ(店内),9
2026-04-07,季節のタルト,8
2026-04-08,どら焼き,33
2026-04-08,豆大福,34
2026-04-08,カステラ,11
2026-04-08,シュークリーム,52
2026-04-08,プリン,22
2026-04-08,苺ショートケーキ,15
2026-04-08,食パン,70
2026-04-08,クロワッサン,40
2026-04-08,あんぱん,22
2026-04-08,抹茶ラテ(店内),6
2026-04-08,季節のタルト,9
2026-04-09,どら焼き,38
2026-04-09,豆大福,30
2026-04-09,カステラ,10
2026-04-09,シュークリーム,45
2026-04-09,プリン,34
2026-04-09,苺ショートケーキ,16
2026-04-09,食パン,42
2026-04-09,クロワッサン,26
2026-04-09,あんぱん,26
2026-04-09,抹茶ラテ(店内),8
2026-04-09,季節のタルト,11
2026-04-10,どら焼き,35
2026-04-10,豆大福,32
2026-04-10,カステラ,13
2026-04-10,シュークリーム,44
2026-04-10,プリン,30
2026-04-10,苺ショートケーキ,18
2026-04-10,食パン,65
2026-04-10,クロワッサン,39
2026-04-10,あんぱん,28
2026-04-10,季節のタルト,7
2026-04-11,どら焼き,58
2026-04-11,豆大福,41
2026-04-11,カステラ,20
2026-04-11,シュークリーム,72
2026-04-11,プリン,40
2026-04-11,苺ショートケーキ,35
2026-04-11,食パン,91
2026-04-11,クロワッサン,43
2026-04-11,あんぱん,29
2026-04-11,抹茶ラテ(店内),13
2026-04-11,季節のタルト,19
2026-04-12,どら焼き,57
2026-04-12,豆大福,49
2026-04-12,カステラ,18
2026-04-12,シュークリーム,85
2026-04-12,プリン,35
2026-04-12,苺ショートケーキ,39
2026-04-12,食パン,61
2026-04-12,クロワッサン,50
2026-04-12,あんぱん,38
2026-04-13,どら焼き,42
2026-04-13,豆大福,49
2026-04-13,シュークリーム,54
2026-04-13,プリン,23
2026-04-13,苺ショートケーキ,17
2026-04-13,食パン,76
2026-04-13,クロワッサン,33
2026-04-13,あんぱん,22
2026-04-13,季節のタルト,11
2026-04-14,どら焼き,33
2026-04-14,豆大福,35
2026-04-14,カステラ,13
2026-04-14,シュークリーム,35
2026-04-14,プリン,34
2026-04-14,苺ショートケーキ,22
2026-04-14,食パン,51
2026-04-14,クロワッサン,35
2026-04-14,あんぱん,30
2026-04-14,抹茶ラテ(店内),9
2026-04-14,季節のタルト,12
2026-04-15,どら焼き,43
2026-04-15,豆大福,31
2026-04-15,カステラ,15
2026-04-15,シュークリーム,47
2026-04-15,プリン,20
2026-04-15,苺ショートケーキ,12
2026-04-15,食パン,61
2026-04-15,クロワッサン,30
2026-04-15,あんぱん,28
2026-04-15,抹茶ラテ(店内),7
2026-04-16,どら焼き,42
2026-04-16,豆大福,29
2026-04-16,カステラ,11
2026-04-16,シュークリーム,37
2026-04-16,プリン,30
2026-04-16,苺ショートケーキ,15
2026-04-16,食パン,59
2026-04-16,クロワッサン,37
2026-04-16,あんぱん,33
2026-04-16,抹茶ラテ(店内),9
2026-04-16,季節のタルト,11
2026-04-17,どら焼き,46
2026-04-17,豆大福,30
2026-04-17,カステラ,13
2026-04-17,シュークリーム,47
2026-04-17,プリン,19
2026-04-17,苺ショートケーキ,15
2026-04-17,食パン,59
2026-04-17,クロワッサン,38
2026-04-17,あんぱん,20
2026-04-17,抹茶ラテ(店内),10
2026-04-17,季節のタルト,8
2026-04-18,どら焼き,58
2026-04-18,豆大福,41
2026-04-18,カステラ,19
2026-04-18,シュークリーム,75
2026-04-18,プリン,28
2026-04-18,苺ショートケーキ,47
2026-04-18,食パン,68
2026-04-18,クロワッサン,48
2026-04-18,あんぱん,35
2026-04-18,抹茶ラテ(店内),10
2026-04-19,どら焼き,61
2026-04-19,豆大福,43
2026-04-19,カステラ,19
2026-04-19,シュークリーム,88
2026-04-19,プリン,33
2026-04-19,苺ショートケーキ,31
2026-04-19,食パン,54
2026-04-19,クロワッサン,46
2026-04-19,あんぱん,33
2026-04-19,抹茶ラテ(店内),13
2026-04-19,季節のタルト,17
2026-04-20,どら焼き,46
2026-04-20,豆大福,15
2026-04-20,カステラ,15
2026-04-20,シュークリーム,44
2026-04-20,プリン,30
2026-04-20,苺ショートケーキ,22
2026-04-20,食パン,52
2026-04-20,クロワッサン,38
2026-04-20,あんぱん,24
2026-04-20,季節のタルト,13
2026-04-21,どら焼き,32
2026-04-21,豆大福,26
2026-04-21,カステラ,10
2026-04-21,シュークリーム,49
2026-04-21,プリン,32
2026-04-21,食パン,47
2026-04-21,クロワッサン,43
2026-04-21,あんぱん,31
2026-04-21,抹茶ラテ(店内),10
2026-04-21,季節のタルト,7
2026-04-22,どら焼き,39
2026-04-22,豆大福,39
2026-04-22,カステラ,12
2026-04-22,シュークリーム,39
2026-04-22,プリン,38
2026-04-22,苺ショートケーキ,22
2026-04-22,食パン,82
2026-04-22,クロワッサン,38
2026-04-22,あんぱん,28
2026-04-22,季節のタルト,10
2026-04-23,どら焼き,34
2026-04-23,豆大福,34
2026-04-23,カステラ,11
2026-04-23,シュークリーム,53
2026-04-23,プリン,33
2026-04-23,苺ショートケーキ,23
2026-04-23,食パン,79
2026-04-23,クロワッサン,34
2026-04-23,あんぱん,21
2026-04-23,抹茶ラテ(店内),9
2026-04-24,どら焼き,39
2026-04-24,豆大福,27
2026-04-24,カステラ,9
2026-04-24,シュークリーム,37
2026-04-24,プリン,30
2026-04-24,苺ショートケーキ,13
2026-04-24,食パン,61
2026-04-24,クロワッサン,37
2026-04-24,あんぱん,28
2026-04-24,抹茶ラテ(店内),10
2026-04-24,季節のタルト,13
2026-04-25,どら焼き,60
2026-04-25,豆大福,34
2026-04-25,カステラ,18
2026-04-25,シュークリーム,90
2026-04-25,プリン,38
2026-04-25,苺ショートケーキ,41
2026-04-25,食パン,55
2026-04-25,クロワッサン,55
2026-04-25,あんぱん,35
2026-04-25,抹茶ラテ(店内),13
2026-04-25,季節のタルト,19
2026-04-26,どら焼き,53
2026-04-26,豆大福,45
2026-04-26,カステラ,21
2026-04-26,シュークリーム,88
2026-04-26,プリン,38
2026-04-26,苺ショートケーキ,32
2026-04-26,食パン,66
2026-04-26,クロワッサン,38
2026-04-26,あんぱん,31
2026-04-26,抹茶ラテ(店内),12
2026-04-26,季節のタルト,16
2026-04-27,どら焼き,37
2026-04-27,豆大福,30
2026-04-27,カステラ,9
2026-04-27,シュークリーム,48
2026-04-27,プリン,29
2026-04-27,苺ショートケーキ,18
2026-04-27,食パン,62
2026-04-27,クロワッサン,30
2026-04-27,あんぱん,29
2026-04-27,抹茶ラテ(店内),11
2026-04-28,どら焼き,37
2026-04-28,豆大福,37
2026-04-28,カステラ,11
2026-04-28,シュークリーム,48
2026-04-28,プリン,38
2026-04-28,苺ショートケーキ,19
2026-04-28,食パン,65
2026-04-28,クロワッサン,29
2026-04-28,あんぱん,29
2026-04-28,抹茶ラテ(店内),8
2026-04-28,季節のタルト,8
2026-04-29,どら焼き,35
2026-04-29,豆大福,38
2026-04-29,カステラ,13
2026-04-29,シュークリーム,50
2026-04-29,プリン,23
2026-04-29,苺ショートケーキ,21
2026-04-29,食パン,71
2026-04-29,クロワッサン,41
2026-04-29,あんぱん,33
2026-04-29,抹茶ラテ(店内),10
2026-04-29,季節のタルト,11
2026-04-30,どら焼き,38
2026-04-30,豆大福,27
2026-04-30,カステラ,15
2026-04-30,シュークリーム,39
2026-04-30,プリン,31
2026-04-30,苺ショートケーキ,22
2026-04-30,食パン,57
2026-04-30,クロワッサン,39
2026-04-30,あんぱん,23
2026-04-30,抹茶ラテ(店内),11
2026-04-30,季節のタルト,9
2026-05-01,どら焼き,32
2026-05-01,豆大福,29
2026-05-01,カステラ,12
2026-05-01,シュークリーム,47
2026-05-01,プリン,33
2026-05-01,苺ショートケーキ,15
2026-05-01,食パン,78
2026-05-01,クロワッサン,42
2026-05-01,あんぱん,33
2026-05-01,抹茶ラテ(店内),11
2026-05-01,季節のタルト,6
2026-05-02,どら焼き,59
2026-05-02,豆大福,54
2026-05-02,カステラ,20
2026-05-02,シュークリーム,92
2026-05-02,プリン,46
2026-05-02,苺ショートケーキ,37
2026-05-02,食パン,59
2026-05-02,クロワッサン,47
2026-05-02,あんぱん,32
2026-05-02,抹茶ラテ(店内),12
2026-05-02,季節のタルト,22
2026-05-03,どら焼き,69
2026-05-03,豆大福,50
2026-05-03,カステラ,19
2026-05-03,シュークリーム,77
2026-05-03,プリン,40
2026-05-03,苺ショートケーキ,34
2026-05-03,食パン,48
2026-05-03,クロワッサン,41
2026-05-03,あんぱん,32
2026-05-03,抹茶ラテ(店内),14
2026-05-03,季節のタルト,22
2026-05-04,どら焼き,48
2026-05-04,豆大福,32
2026-05-04,カステラ,17
2026-05-04,シュークリーム,44
2026-05-04,プリン,28
